Morion ID,ATC Code (1),ATC Code (2),ATC Code (3),ATC Code (4),ATC Code (5),Brand,INN,NFC (1),Description,strength_value,strength_unit,pack_size,form_category,market_level,market_name,sales_2019,sales_2020,sales_2021,sales_2022,sales_2023
303615,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,10638,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 20 mg blister, #28",20.0,mg,28.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,7.08,0.0,0.0,0.0,0.0
484871,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,49971,PREGABALINUM,Oral Solid Ordinary," caps. solid 150 mg blister, #20",150.0,mg,20.0,Oral solid,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,488.37,1551.81,3239.4,2101.13,6265.070000000001
485161,N NERVOUS SYSTEM,N06 PSYCHOANALEPTICS,"N06B PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06B X Other psychostimulants and nootropics,N06B X06 Citicoline,23481,CITICOLINUM,Parenteral Ordinary," sol.  for inj. 1000 mg/4 ml amp. 4 ml, blister in the box, #10",1000.0,mg,10.0,Parenteral,No sampled peer,No sampled peer,29.4,73.81,90.86,34.14,13.98
182808,G GENITO URINARY SYSTEM AND SEX HORMONES,G04 UROLOGICALS,G04B UROLOGICALS,G04B E Drugs used in erectile dysfunction,G04B E03 Sildenafilum,42400,SILDENAFILUM,Oral Solid Ordinary," chewable tabs 100 mg, #4",100.0,mg,4.0,Oral solid,No sampled peer,No sampled peer,10.420000000000002,0.0,0.0,0.0,0.0
167736,C CARDIOVASCULAR SYSTEM,C10 LIPID MODIFYING AGENTS,"C10A LIPID MODIFYING AGENTS, PLAIN",C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,33901,ROSUVASTATINUM,Oral Solid Ordinary," tabs coated w/film 5 mg blister, #28",5.0,mg,28.0,Oral solid,ATC4,C10A A HMG CoA reductase inhibitors,5.8,0.0,0.0,0.0,0.0
44967,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,41639,AMLODIPINUM,Oral Solid Ordinary," tabs 10 mg blister, #30",10.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,3.14,0.0,0.0,0.0,0.0
402633,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,J01M QUINOLONE ANTIBACTERIALS,J01M A Fluoroquinolones,J01M A12 Levofloxacin,17413,LEVOFLOXACINUM,Parenteral Ordinary," sol. f/infus. 5 mg/ml cont. 100 ml, #1",5.0,mg,1.0,Parenteral,No sampled peer,No sampled peer,39.230000000000004,0.0,0.0,0.0,0.0
28581,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J02 ANTIMYCOTICS FOR SYSTEMIC USE,J02A ANTIMYCOTICS FOR SYSTEMIC USE,J02A C Triazole and tetrazole derivatives,J02A C01 Fluconazole,14259,FLUCONAZOLUM,Oral Solid Ordinary," caps. 100 mg, #28",100.0,mg,28.0,Oral solid,No sampled peer,No sampled peer,158.87,95.02,106.14000000000001,51.790000000000006,73.36000000000001
92638,M MUSCULO-SCELETAL SYSTEM,M01 ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A C Oxicams,M01A C06 Meloxicam,38577,MELOXICAMUM,Oral Solid Ordinary," tabs 15 mg blister, #10",15.0,mg,10.0,Oral solid,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",80.94999999999999,53.04999999999999,94.49,281.48,309.35999999999996
174592,N NERVOUS SYSTEM,N02 ANALGESICS,N02B OTHER ANALGESICS AND ANTIPYRETICS,N02B F Gabapentinoids,N02B F02 Pregabalin,4705,PREGABALINUM,Oral Solid Ordinary," caps. 75 mg blister, #56",75.0,mg,56.0,Oral solid,ATC3,N02B OTHER ANALGESICS AND ANTIPYRETICS,49.43,31.459999999999997,0.0,0.0,0.0
44968,C CARDIOVASCULAR SYSTEM,C08 CALCIUM CHANNEL BLOCKERS,C08C SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C A Dihydropyridine derivatives,C08C A01 Amlodipine,41639,AMLODIPINUM,Oral Solid Ordinary," tabs 5 mg blister, #30",5.0,mg,30.0,Oral solid,No sampled peer,No sampled peer,3.47,0.0,0.0,0.0,0.0
250607,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,J01M QUINOLONE ANTIBACTERIALS,J01M A Fluoroquinolones,J01M A12 Levofloxacin,19995,LEVOFLOXACINUM,Parenteral Ordinary," sol. f/infus. 5 mg/ml pack 100 ml, #1",5.0,mg,1.0,Parenteral,No sampled peer,No sampled peer,27.939999999999998,0.0,0.0,0.0,0.0
