month,INN,forecast,lower80,upper80,selected_model
2024-11,SILDENAFILUM,178709.34666159278,116291.23352977935,197899.66456178724,Damped ETS
2024-12,ACETYLCYSTEINUM,272254.2865131632,190400.32362538952,343996.4629570374,Damped ETS
2024-12,ACIDUM ACETYLSALICYLICUM*,1731566.0500639267,1210967.8024821596,2187852.4657331347,Damped ETS
2024-12,AMBROXOLUM,463359.74444911187,324049.6371393864,585460.2505997088,Damped ETS
2024-12,AMLODIPINUM,369491.12794433115,258402.76189117975,466856.2508666475,Damped ETS
2024-12,ATORVASTATINUM,125953.77895728205,88085.28452197326,159144.20876172066,Damped ETS
2024-12,AZITHROMYCINUM,497100.9185364286,347646.47630154976,628092.5845091095,Damped ETS
2024-12,BISOPROLOLUM,806662.507415297,564137.9061686619,1019226.9590408276,Damped ETS
2024-12,CEFTRIAXONUM,333655.8241973689,233341.3963128494,421577.96176112536,Damped ETS
2024-12,CITICOLINUM,79659.15148834985,55709.20668811699,100650.45239866877,Damped ETS
2024-12,DICLOFENACUM,856256.1544035941,598821.1483231744,1081889.0618093503,Damped ETS
2024-12,FLUCONAZOLUM,346484.6163676736,242313.1927507598,437787.27771567384,Damped ETS
2024-12,IBUPROFENUM,1413888.5591092415,988800.5287501211,1786463.562228097,Damped ETS
2024-12,LEVOFLOXACINUM,97020.19481327546,67850.62612910832,122586.31610419466,Damped ETS
2024-12,MELOXICAMUM,221980.42170683827,155241.3721666991,280474.8977088095,Damped ETS
2024-12,METFORMINUM,558099.0309159216,390305.4141111712,705164.351130983,Damped ETS
2024-12,PANTOPRAZOLUM,371539.7426292943,259835.45747851246,469444.69740603113,Damped ETS
2024-12,PARACETAMOLUM,1399865.013114511,978993.1830287027,1768744.6620530745,Damped ETS
2024-12,PREGABALINUM,289401.5189148796,202392.21472000392,365662.1742769894,Damped ETS
2024-12,ROSUVASTATINUM,320505.6544372725,224144.8449426712,404962.58178866433,Damped ETS
2024-12,SILDENAFILUM,198382.29714300577,138738.0593767993,250658.41522845908,Damped ETS
