SKU,INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
530460,SULFANILAMIDUM,0.38333333333333336,112.08716666666668,1.0998706207290387,1.6216216216216217,0.36265781911144335,23,0,0,0.04501121237480388,0.8337955487546718,0.5942066531373646,Intermittent
603848,MELOXICAMUM,0.38333333333333336,873.3258333333332,1.5847735722992646,1.6216216216216217,1.1654294865325392,23,0,0,0.046516815069718276,0.616331175122347,0.027705188215144557,Lumpy / volatile
438572,ENTECAVIRUM,0.75,0.5395000000000001,3.408801012061946,4.0,2.154981084958641,23,21,1,0.09354834287534775,0.004511853000961574,-0.09982836735385726,Potential discontinued
666678,PREGABALINUM,0.38333333333333336,82.6315,1.9918158296604096,1.6216216216216217,2.0631870178929006,23,0,0,0.12401270175152046,0.7990392293767694,0.24009338772176053,Lumpy / volatile
671174,NAFTIFINUM,0.38333333333333336,347.59466666666674,1.0267974402126154,1.6216216216216217,0.26682633965676056,23,0,0,0.08363238964133424,0.7650461736375239,0.536760884255359,Intermittent
671175,NAFTIFINUM,0.38333333333333336,1269.6668333333332,1.1368602113758366,1.6216216216216217,0.4136782031291988,23,0,0,0.07655718042235038,0.7739720710901143,0.2046818121372674,Intermittent
485315,LEVOCARNITINUM,0.9833333333333333,0.019666666666666666,7.681145747868604,60.0,0.0,23,36,0,0.19462889690749463,0.010843006878185069,-0.02127659574468089,Potential discontinued
586629,AZTREONAMUM,0.38333333333333336,394.79016666666666,1.1009800549141804,1.6216216216216217,0.36416353347994607,23,0,0,0.051352379095068734,0.7392803433995591,0.011125592707933021,Intermittent
647437,ONDANSETRON,0.38333333333333336,2702.8468333333335,1.1596427460629213,1.6216216216216217,0.445942300739418,23,0,0,0.056403552743764185,0.8444692270805451,0.7190693602747267,Intermittent
500183,OSELTAMIVIRUM,0.4666666666666667,116.27766666666665,2.786311453175231,1.875,3.67388347418425,23,1,4,0.15880259137033925,0.5027719653379643,0.08481492487539158,Lumpy / volatile
674968,DESLORATADINUM,0.38333333333333336,828.3798333333333,3.040713046826151,1.6216216216216217,5.3183270971022445,23,0,0,0.20991495548263805,0.7903599376440713,0.23844386856514396,Lumpy / volatile
630562,TOBRAMYCINUM,0.4,69.81099999999999,1.7312350389484263,1.6666666666666667,1.3983048560496554,23,0,1,0.07882722176026513,0.9136769843400749,0.9226232812648137,Lumpy / volatile
395245,LEVOCETIRIZINUM,0.38333333333333336,7376.495333333333,2.120375545606016,1.6216216216216217,2.3891953468824734,23,0,0,0.2735423522954885,0.8772264506162516,0.5290617793833171,Lumpy / volatile
639739,LATANOPROSTUM+TIMOLOLUM,0.38333333333333336,33.163833333333336,1.3557429422873302,1.6216216216216217,0.7501240040965097,23,0,0,0.2606297085210151,0.9138947354581725,0.7334339673608824,Lumpy / volatile
80039,CARVEDILOLUM,0.9666666666666667,0.36200000000000004,6.219605335746145,30.0,0.3227830177480676,23,35,0,0.1734034188958682,0.0028796029917566024,-0.03252371779619815,Potential discontinued
79589,CLOPIDOGRELUM,0.95,0.5336666666666666,4.819205822799639,20.0,0.21123723812529732,23,34,0,0.15747744352590887,0.0023178207408035556,-0.05440756852454625,Potential discontinued
226448,OXYMETAZOLINUM,0.9833333333333333,0.103,7.681145747868618,60.0,0.0,23,36,0,0.1946288969074942,0.010843006878183847,-0.02127659574468087,Potential discontinued
639561,LISINOPRILUM,0.38333333333333336,842.5159999999998,1.0516914292481438,1.6216216216216217,0.2987338317849685,23,0,0,0.06776813641558066,0.8251760071126277,0.6152513537725213,Intermittent
109774,INDOMETACINUM,0.9833333333333333,0.11416666666666667,7.681145747868608,60.0,0.0,23,36,0,0.19462889690749408,0.010843006878183958,-0.021276595744680906,Potential discontinued
605395,CEFTAZIDIMUM,0.38333333333333336,308.1728333333333,1.907492405216666,1.6216216216216217,1.8604251535082106,23,0,0,0.02157538860228536,0.4354847133215207,-0.2545367427295698,Lumpy / volatile
485596,DEXAMETHASONUM+TOBRAMYCINUM,0.4166666666666667,156.35533333333342,1.3700258377140857,1.7142857142857142,0.6782329643357727,23,1,1,0.05436988262494813,0.33542315520997956,0.009844953255034738,Lumpy / volatile
639559,LISINOPRILUM,0.38333333333333336,1269.2750000000003,1.1353533092311339,1.6216216216216217,0.4115667343489537,23,0,0,0.07358720024817178,0.869316683619286,0.7686922299584954,Intermittent
501109,UNKNOWN_SKU_501109,0.38333333333333336,66.2455,1.374109355827999,1.6216216216216217,0.7810421884273236,23,0,0,0.02702134636149023,0.5202423601914581,0.12004625956300463,Lumpy / volatile
402610,CHLOROBUTANOLUM+CHOLINI SALICYLAS+HEXETIDINUM,0.6333333333333333,2.329,1.908646377836901,2.727272727272727,0.7024080317309725,23,13,2,0.1256691854827805,0.04132502159082352,0.24625924679137529,Potential discontinued
539264,IBUPROFENUM,0.38333333333333336,48.59099999999998,1.719681268119731,1.6216216216216217,1.4403372594184969,23,0,0,0.06343594227119309,0.4030196505452137,-0.04761691354107835,Lumpy / volatile
395246,LEVOCETIRIZINUM,0.4166666666666667,51.17549999999999,1.6046763053213604,1.7142857142857142,1.0854085261682227,23,0,2,0.02194415756897017,0.2289309563972084,-0.15462889504130037,Lumpy / volatile
597077,NATRII CHLORIDUM*,0.4,50.7345,1.2321106556609418,1.6666666666666667,0.5108580006759412,23,0,1,0.0423439696215433,0.821817053738959,0.4438791727175868,Lumpy / volatile
545185,PANTOPRAZOLUM,0.38333333333333336,472.62850000000003,2.2940354941969967,1.6216216216216217,2.8619359566586575,23,0,0,0.058402806363480275,0.8135019721516903,0.4152193543379381,Lumpy / volatile
325738,BUDESONIDUM+FORMOTEROLUM,0.38333333333333336,742.6645,1.1743899189075144,1.6216216216216217,0.4671682036728188,23,0,0,0.08153832202171896,0.8451692438441685,0.8639127910422231,Intermittent
657565,XEROFORMIUM*,0.38333333333333336,1473.9779999999998,0.9346719326078016,1.6216216216216217,0.15539383332296164,23,0,0,0.0785796655373705,0.8080570124225288,0.7883409179683161,Intermittent
283720,IMIQUIMODUM,0.38333333333333336,173.48750000000004,1.2828522650420107,1.6216216216216217,0.6315211259194409,23,0,0,0.1032407620447644,0.8691326966832649,0.464758590976913,Lumpy / volatile
485602,TOBRAMYCINUM,0.45,130.14783333333332,1.6651015566782088,1.8181818181818181,1.074909756728707,23,4,0,0.1259624838290535,0.4627972180664385,0.35729200281128176,Lumpy / volatile
