INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,share_change_12m,opportunity_probability,predicted_share_change_6m,action,supply_watch,reason
HYPERICUM PERFORATUM/QUADRANGULUM*&+ELEUTHEROCOCCUS SENTICOSUS*&+ECHINACEA PURPUREA/ANGUSTIFOLIA*&,True,10.65,372.8136661452015,306.091261223174,386.2405350918665,34.005978041802955,-0.0008247070282057,0.0222931204876917,0.0,Monitor,False,常规跟踪销量与生命周期信号
GEMTUZUMABUM,True,10.47,31.488454602309982,0.0,44.68839055269336,2.0074932762473723,0.3295881586011196,0.3684707011191493,0.0,Monitor,True,常规跟踪销量与生命周期信号
UNKNOWN_SKU_554602,False,10.4,8.995494221852109,0.0,22.107178451459284,-0.1350486325142202,,,,Data Review,False,补齐INN后再形成分子级商业建议
ANTITHROMBINUM III,True,10.38,10.638819059550276,0.0,23.725288511792822,0.0249343988006045,3.194196669195676e-05,0.0501090894426698,0.0,Market-led Growth,False,销量增长且同类份额变化不超过0.2个百分点
UNKNOWN_SKU_421653,False,10.17,9.587360558272572,0.0,22.409074848186517,-0.0572900139358334,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_82803,False,10.14,1753.611537596275,1690.0842900930488,1766.395429720142,171.9399938457865,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_99503,False,10.050000000000002,19.693497615507077,0.0,32.36392324123324,0.959552001542992,,,,Data Review,True,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_113366,False,9.63,15.487798870233828,0.0,27.628714171302786,0.608286487044011,,,,Data Review,False,补齐INN后再形成分子级商业建议
UNKNOWN_SKU_139312,False,9.61,6.763171312758445,0.0,18.878871836462764,-0.2962360756755,,,,Data Review,False,补齐INN后再形成分子级商业建议
KALII CHLORIDUM*+NATRII ACETAS*+NATRII CHLORIDUM*,True,9.45,13.94785388658411,0.0,25.861836191371395,0.4759633742417049,-7.361512099432059e-06,0.0499342541214817,0.0,Monitor,False,常规跟踪销量与生命周期信号
DEFERASIROXUM,True,9.34,22.41461652385596,0.0,34.18991755313779,1.3998518762158416,1.2163544398697395e-05,0.055114077163279,0.0,Market-led Growth,True,销量增长且同类份额变化不超过0.2个百分点
INTERFERONUM BETA,True,9.27,15.557354681729024,0.0,27.24440399023465,0.6782475384820952,1.4040095750222646e-05,0.0592774308006233,0.0,Market-led Growth,True,销量增长且同类份额变化不超过0.2个百分点
UNKNOWN_SKU_814928,False,9.22,20.80122896624846,0.0,32.42524133134251,1.256098586361004,,,,Data Review,True,补齐INN后再形成分子级商业建议
