INN,market_level,market,peer_share,opportunity_probability,predicted_share_change_6m
ADENOSINI PHOSPHAS+CYTOCHROMUM C*+NICOTINAMIDUM,ATC4,S01X A Other ophthalmologicals,0.15669098783352853,0.33344402561653774,0
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,ATC4,C01E X Other cardiac combination products,0.0009299611891402876,0.031219694172972223,0
AERVA LANNATA*&,ATC4,C03B X Other low-ceiling diuretics,0.1757002020515721,0.3253091433242018,0
AESCINUM*,ATC4,C05C X Other capillary stabilizing agents,0.030847262091439315,0.5766698118976575,0
AESCINUM*+DIETHYLAMIN,ATC4,M02A C Preparations with salicylic acid derivatives,0.05783848285772941,0.5976368668338036,0
AESCINUM*+HEPARIN SODIUM,ATC4,C05B A Heparins or heparinoids for topical use,0.0004504190729331156,0.09468076095370834,0
AESCULUS HIPPOCASTANUM L.*&,ATC4,C05C X Other capillary stabilizing agents,0.006309877488325663,0.03488931120264945,0
AESCULUS HIPPOCASTANUM L.*&+DICLOFENACUM,ATC4,"M02A A Antiinflammatory preparations, non-steroids for topical use",0.0012236593786172478,0.03474787004919464,0
AESCULUS HIPPOCASTANUM L.+THIAMINUM,ATC4,C05C X Other capillary stabilizing agents,0.08555239616849858,0.6422505899377563,0
AETHACIZINUM*,ATC4,"C01B C Antiarrhythmics, class 1c",0.3509507861386937,0.24963011471471425,0
AETHONIUM*,ATC4,D08A J Quaternary ammonium compounds,0.1361126042338735,0.48235846989213493,0
AFATINIBUM,ATC4,L01E B Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,0.0,0.0106610917850116,0
AGOMELATINUM,ATC4,N06A X Other antidepressants,0.04428414496985253,0.2329620181478952,0
ALANINUM,ATC4,G02C X Other gynecologicals,0.11606154564071504,0.6276029113056111,0
ALBENDAZOLUM,ATC3,P02C ANTINEMATODAL AGENTS,0.8040015668223924,0.39353969439482567,0
