SKU,ATC1,ATC2,ATC3,ATC4,ATC5,Brand,INN,NFC,Description,known_inn,INN_key,strength_value,strength_unit,strength_mg,pack_size,dosage_form,concentration_flag,multi_strength_flag,strength_parse_status
392643,N NERVOUS SYSTEM,N07 OTHER NERVOUS SYSTEM DRUGS,N07A PARASYMPATHOMIMETICS,N07A X Other parasympathomimetics,N07A X02 Choline alfoscerate,35108,CHOLINI ALFOSCERAS,Parenteral Ordinary,"sol. for inj. 250 mg/ml amp. 4 ml, #10",True,CHOLINI ALFOSCERAS,,,,10.0,Parenteral,True,False,not_comparable_or_missing
28578,C CARDIOVASCULAR SYSTEM,C01 CARDIAC THERAPY,"C01B ANTIARRHYTHMICS, CLASS I AND III","C01B D Antiarrhythmics, class III",C01B D01 Amiodarone,5333,AMIODARONUM,Oral Solid Ordinary,"tabs 200 mg, #30",True,AMIODARONUM,200.0,mg,200.0,30.0,Oral solid,False,False,single_mass
57465,"H SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES",H02 CORTICOSTEROIDS FOR SYSTEMIC USE,"H02A CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A B Glucocorticoids,H02A B04 Methylprednisolone,26782,METHYLPREDNISOLONUM,Oral Solid Ordinary,"tabs 4 mg blister, #30",True,METHYLPREDNISOLONUM,4.0,mg,4.0,30.0,Oral solid,False,False,single_mass
18708,D DERMATOLOGICAL,D06 ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B CHEMOTHERAPEUTICS FOR TOPICAL USE,D06B A Sulfonamides,D06B A02 Sulfathiazole,40046,SULFATHIAZOLUM ARGENTI*,"Topical Dermatological, Haemorrhoidal, External","cream 2 % tube 40 g, #1",True,SULFATHIAZOLUM ARGENTI*,,,,1.0,Topical,False,False,not_comparable_or_missing
107681,C CARDIOVASCULAR SYSTEM,C01 CARDIAC THERAPY,C01E OTHER CARDIAC PREPARATIONS,C01E B Other cardiac preparations,C01E B15 Trimetazidine,12827,TRIMETAZIDINUM,Oral Solid Ordinary,"tabs coated w/film 20 mg blister, #30",True,TRIMETAZIDINUM,20.0,mg,20.0,30.0,Oral solid,False,False,single_mass
28653,N NERVOUS SYSTEM,N03 ANTIEPILEPTICS,N03A ANTIEPILEPTICS,N03A G Fatty acid derivatives,N03A G01 Valproic acid,42817,ACIDUM VALPROICUM,Oral Solid Retard,"coat. tabs, prolong. action 300 mg cont., #100",True,ACIDUM VALPROICUM,300.0,mg,300.0,100.0,Oral solid,False,False,single_mass
5472,B BLOOD AND BLOOD FORMING ORGANS,B02 ANTIHEMORRHAGICS,B02B VITAMIN K AND OTHER HEMOSTATICS,B02B X Other systemic hemostatics,B02B X01 Etamsylate,10845,ETAMSYLATUM,Parenteral Ordinary,"sol. for inj. 12,5 % amp. 2 ml, blister in the box, #10",True,ETAMSYLATUM,,,,10.0,Parenteral,False,False,not_comparable_or_missing
121196,J GENERAL ANTIINFECTIVES FOR SYSTEMIC USE,J01 ANTIBACTERIALS FOR SYSTEMIC USE,"J01F MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",J01F A Macrolides,J01F A10 Azithromycin,31229,AZITHROMYCINUM,Oral Solid Ordinary,"tabs coated w/film 500 mg blister, #3",True,AZITHROMYCINUM,500.0,mg,500.0,3.0,Oral solid,False,False,single_mass
9195,A ALIMENTARY TRACT AND METABOLISM,"A07 ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07A INTESTINAL ANTIINFECTIVES,A07A B Sulfonamides,A07A B02 Phthalylsulfathiazole,41447,PHTHALYLSULFATHIAZOLUM,Oral Solid Ordinary,"tabs 500 mg blister, #10",True,PHTHALYLSULFATHIAZOLUM,500.0,mg,500.0,10.0,Oral solid,False,False,single_mass
81469,C CARDIOVASCULAR SYSTEM,C07 BETA BLOCKING AGENTS,C07A BETA-BLOCKING AGENTS,"C07A B Beta blocking agents, selective",C07A B02 Metoprolol,42089,METOPROLOLUM,Oral Solid Retard,"tabl. w/prol. rel., coat. film 25 mg blister, #14",True,METOPROLOLUM,25.0,mg,25.0,14.0,Oral solid,False,False,single_mass
185334,A ALIMENTARY TRACT AND METABOLISM,A05 BILE AND LIVER THERAPY,"A05B LIVER THERAPY, LIPOTROPICS",A05B A Liver therapy,A05B A50** Various,10436,ACIDUM TIAZOTICUM,Rectal systemic,"suppository 0,2 g blister, #5",True,ACIDUM TIAZOTICUM,,,,5.0,Other,False,False,not_comparable_or_missing
