SKU,forecast_2024,model
12761,0.0,Seasonal Naive
126326,364.31,Seasonal Naive
500828,1822.0600000000002,Seasonal Naive
20962,0.0,Seasonal Naive
406453,0.0,Seasonal Naive
88596,0.0,Seasonal Naive
187933,0.0,Seasonal Naive
62826,0.0,Seasonal Naive
161427,0.0,Seasonal Naive
192595,0.0,Seasonal Naive
8057,0.0,Seasonal Naive
90633,0.0,Seasonal Naive
274956,0.0,Seasonal Naive
328136,18534.280000000002,Seasonal Naive
51963,446.19,Seasonal Naive
169235,0.0,Seasonal Naive
44967,0.0,Seasonal Naive
156473,262.03,Seasonal Naive
486220,164.61,Seasonal Naive
99788,0.0,Seasonal Naive
26745,170.01,Seasonal Naive
69003,0.0,Seasonal Naive
105260,0.0,Seasonal Naive
402633,0.0,Seasonal Naive
28581,73.36000000000001,Seasonal Naive
541667,26791.15,Seasonal Naive
410623,1911.0500000000002,Seasonal Naive
237248,0.0,Seasonal Naive
90614,0.0,Seasonal Naive
51964,225.02,Seasonal Naive
5713,0.0,Seasonal Naive
36928,0.0,Seasonal Naive
246583,0.0,Seasonal Naive
185318,0.0,Seasonal Naive
422769,2224.12,Seasonal Naive
92638,309.35999999999996,Seasonal Naive
16581,4.0600000000000005,Seasonal Naive
174592,0.0,Seasonal Naive
165457,0.0,Seasonal Naive
44364,12.32,Seasonal Naive
44968,0.0,Seasonal Naive
153345,0.0,Seasonal Naive
374849,1.98,Seasonal Naive
10623,0.0,Seasonal Naive
113060,0.0,Seasonal Naive
138312,232.95,Seasonal Naive
4651,0.0,Seasonal Naive
149312,0.21000000000000002,Seasonal Naive
298950,0.0,Seasonal Naive
82936,0.0,Seasonal Naive
136564,362.64,Seasonal Naive
117309,0.0,Seasonal Naive
52420,0.0,Seasonal Naive
167960,0.0,Seasonal Naive
305377,0.0,Seasonal Naive
153364,0.0,Seasonal Naive
250607,0.0,Seasonal Naive
63239,125.34,Seasonal Naive
108286,0.0,Seasonal Naive
144191,0.0,Seasonal Naive
100053,5.45,Seasonal Naive
92255,0.0,Seasonal Naive
336283,0.0,Seasonal Naive
140275,0.0,Seasonal Naive
380082,0.0,Seasonal Naive
86345,0.0,Seasonal Naive
412505,30731.079999999998,Seasonal Naive
189196,0.0,Seasonal Naive
68827,0.0,Seasonal Naive
414280,0.0,Seasonal Naive
404897,0.0,Seasonal Naive
264506,0.0,Seasonal Naive
13510,1352.5900000000001,Seasonal Naive
6252,0.0,Seasonal Naive
276856,712.3000000000001,Seasonal Naive
125337,0.0,Seasonal Naive
55995,0.0,Seasonal Naive
184465,0.0,Seasonal Naive
70803,9.45,Seasonal Naive
31743,3397.9799999999996,Seasonal Naive
164834,0.0,Seasonal Naive
136706,0.0,Seasonal Naive
131252,1949.02,Seasonal Naive
157729,0.0,Seasonal Naive
136589,65.47,Seasonal Naive
161870,38278.229999999996,Seasonal Naive
44782,0.0,Seasonal Naive
166138,0.0,Seasonal Naive
307740,0.0,Seasonal Naive
336287,0.0,Seasonal Naive
159615,0.0,Seasonal Naive
439080,5661.860000000001,Seasonal Naive
35129,0.0,Seasonal Naive
118270,0.0,Seasonal Naive
54737,0.0,Seasonal Naive
145686,0.0,Seasonal Naive
131129,257.75,Seasonal Naive
90664,0.0,Seasonal Naive
54284,61.330000000000005,Seasonal Naive
309758,0.0,Seasonal Naive
86131,4702.900000000001,Seasonal Naive
405017,0.0,Seasonal Naive
268111,0.01,Seasonal Naive
46374,0.0,Seasonal Naive
12466,0.0,Seasonal Naive
308636,0.0,Seasonal Naive
155837,0.0,Seasonal Naive
337107,229.61,Seasonal Naive
378601,0.0,Seasonal Naive
90641,0.0,Seasonal Naive
118323,0.0,Seasonal Naive
4083,0.0,Seasonal Naive
35625,0.0,Seasonal Naive
100052,0.0,Seasonal Naive
67307,0.0,Seasonal Naive
330827,0.0,Seasonal Naive
44833,0.0,Seasonal Naive
337198,91.87,Seasonal Naive
294738,342.23999999999995,Seasonal Naive
247693,76089.69,Seasonal Naive
379519,0.0,Seasonal Naive
329660,0.0,Seasonal Naive
298425,0.0,Seasonal Naive
137248,1.31,Seasonal Naive
276859,4258.98,Seasonal Naive
131131,436.15999999999997,Seasonal Naive
13540,0.0,Seasonal Naive
189004,0.0,Seasonal Naive
449981,1216.79,Seasonal Naive
389675,0.0,Seasonal Naive
315837,0.0,Seasonal Naive
314723,0.0,Seasonal Naive
309721,0.0,Seasonal Naive
86446,0.0,Seasonal Naive
137332,0.0,Seasonal Naive
95097,0.0,Seasonal Naive
90640,0.0,Seasonal Naive
7601,0.0,Seasonal Naive
149125,0.0,Seasonal Naive
363704,0.0,Seasonal Naive
226051,0.0,Seasonal Naive
45090,0.0,Seasonal Naive
160791,39.17999999999999,Seasonal Naive
146542,11704.24,Seasonal Naive
91373,0.0,Seasonal Naive
402692,0.0,Seasonal Naive
13812,0.0,Seasonal Naive
112257,2831.85,Seasonal Naive
194504,0.0,Seasonal Naive
194469,0.0,Seasonal Naive
313247,0.0,Seasonal Naive
117833,0.85,Seasonal Naive
22059,1176.9,Seasonal Naive
69549,0.0,Seasonal Naive
390797,24356.320000000003,Seasonal Naive
138310,0.0,Seasonal Naive
79602,0.0,Seasonal Naive
28222,0.0,Seasonal Naive
106109,0.0,Seasonal Naive
528335,2810.8599999999997,Seasonal Naive
14039,0.0,Seasonal Naive
390749,0.0,Seasonal Naive
491214,0.0,Seasonal Naive
33977,58.48,Seasonal Naive
112609,0.0,Seasonal Naive
174210,605.49,Seasonal Naive
190224,0.0,Seasonal Naive
68082,233.47000000000003,Seasonal Naive
382754,0.0,Seasonal Naive
360191,0.0,Seasonal Naive
90437,7642.969999999999,Seasonal Naive
44847,0.0,Seasonal Naive
136024,4074.43,Seasonal Naive
144098,0.78,Seasonal Naive
150788,0.0,Seasonal Naive
75236,0.0,Seasonal Naive
111011,2.5,Seasonal Naive
164160,7925.030000000001,Seasonal Naive
485631,33058.8,Seasonal Naive
102769,0.0,Seasonal Naive
128676,0.0,Seasonal Naive
82807,0.0,Seasonal Naive
