INN,known_inn,actual_2023,P50_proxy,P10_empirical,P90_empirical,growth_2024,selected_model
ACIDUM METHYLSILICICUM*,True,732495.8499999999,649802.6169203776,444838.40937758394,774815.6968751686,-0.11289242536953936,Damped ETS
ACIDUM MYCOPHENOLICUM,True,6713.370000000001,8025.922533815172,0.0,16489.729029634203,0.19551321226376195,Damped ETS
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,True,0.0,1.350693110484428,0.0,2.611431978715887,,Damped ETS
ACIDUM OROTICUM,True,94228.11,83916.7332133347,46853.66673408319,109702.97519504519,-0.1094299438529045,Damped ETS
ACIDUM PAMIDRONICUM,True,14.809999999999999,5.382261701833307,0.0,24.053804340341216,-0.6365792233738483,Damped ETS
ACIDUM PIPEMIDICUM,True,55781.49,55431.04496560859,33490.31971725433,70696.07574294631,-0.006282460981078208,Damped ETS
ACIDUM RISEDRONICUM,True,10064.94,9758.25391279283,0.0,22447.514977210372,-0.030470731788482586,Damped ETS
ACIDUM RYBONUCLEINICUM*,True,50686.95,42779.746992622895,22842.87467840056,56650.6179887074,-0.15600076562857113,Damped ETS
ACIDUM SALICYLICUM*,True,2019601.16,1938846.9196161574,1373729.7912229975,2283526.771784424,-0.03998524163248274,Damped ETS
ACIDUM SALICYLICUM*+BETAMETHASONUM,True,517227.21,500622.7602338631,297180.003405696,642165.9366446496,-0.03210281563906303,Damped ETS
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,True,56626.82,71897.49007844638,49624.26827479768,87393.85186660878,0.2696720401824857,Damped ETS
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,True,0.0,57.336851158421155,51.071836611751905,58.59759002665261,,Damped ETS
ACIDUM SALICYLICUM*+FLUMETASONUM,True,44654.54999999999,41877.545062912985,24313.41738115157,54097.603725708934,-0.06218862214683618,Damped ETS
ACIDUM SALICYLICUM*+FLUOROURACILUM,True,41488.049999999996,45577.354344487336,0.0,97882.95154661752,0.09856583629472437,Damped ETS
ACIDUM SALICYLICUM*+MOMETASONUM,True,66410.06,61998.01175633631,35876.714526973636,80171.63189134604,-0.06643644417221861,Damped ETS
ACIDUM SALICYLICUM*+UREA PURA*,True,0.0,646.3867371818939,640.1217226352246,647.6474760501253,,Damped ETS
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,True,284406.06999999995,270148.6357890368,158282.21843743487,347978.5290351954,-0.050130555268961485,Damped ETS
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,True,0.0,1014.5473984941995,1008.2823839475302,1015.8081373624309,,Damped ETS
ACIDUM SUCCINICUM+INOSINUM+NICOTINAMIDUM+RIBOFLAVINUM,True,0.0,1885.1759772835935,1884.7826438454163,1885.4496349212318,,Damped ETS
ACIDUM THIOCTICUM*,True,547111.4999999999,501106.8900109849,285909.6426496295,650828.1306256655,-0.08408635166509015,Damped ETS
ACIDUM TIAZOTICUM,True,971391.9700000001,779322.9063153177,507511.6935357733,945107.7391072741,-0.1977256036867201,Damped ETS
ACIDUM TIAZOTICUM+AMIODARONUM,True,0.0,16.569447192071493,10.304432645402244,17.830186060302953,,Damped ETS
ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE,True,0.0,75.87771815861046,69.61270361194121,77.13845702684192,,Damped ETS
ACIDUM TIAZOTICUM+PIRACETAMUM,True,363228.63,310426.4402900235,167556.4744076828,409826.72909837577,-0.14536901925923762,Damped ETS
ACIDUM UNDECYLENICUM+ZINC UNDECYLENATE,True,0.0,50.23908112654083,43.97406657987158,51.49981999477229,,Damped ETS
ACIDUM VALPROICUM,True,466171.63999999996,453486.77613399987,270125.8821920361,581058.2058703157,-0.027210715490972537,Damped ETS
ACORUS CALAMUS*&,True,63151.81999999999,51806.63025131842,26966.907763562653,69088.60812506994,-0.17964945030375334,Damped ETS
