INN,zero_rate,mean_demand,CV,ADI,CV2_positive,leading_zeros,trailing_zeros,internal_zero_months,seasonality_strength,trend_strength,lag12_autocorrelation,segment
ACORUS+ARNICA+QUERCUS+MENTHA+MATRICARIA+THYMUS+SALVIA*&,0.0,6173.149000000001,0.3165646713505137,1.0,0.10021319114725875,0,0,0,0.18939522165860356,0.5486680522306897,0.02664240480607597,Stable
ACORUS+URTICA+CALENDULA+MATRICARIA+SOPHORA+CHELIDONIUM+ROSA L.*&,0.0,7586.989666666666,0.3308271043253927,1.0,0.10944657295632426,0,0,0,0.27274991366793633,0.8033849736480646,0.7239624103037536,Stable
ACRIVASTINUM,0.95,0.5561666666666667,5.038063367623375,20.0,0.3191041248094282,16,39,2,0.16886626384548664,0.029395492192981543,-0.049737223335534285,Potential discontinued
ADALIMUMAB,0.0,161.11133333333333,1.042995812557357,1.0,1.0878402650121815,0,0,0,0.18470308508442645,0.7251014656364538,0.39907643752220473,Lumpy / volatile
ADAPALENUM,0.0,2255.1454999999996,0.4574043287531558,1.0,0.20921871996212504,0,0,0,0.13006728792317623,0.033504149204544365,-0.36428316175965336,Stable
ADAPALENUM+BENZOYLI PEROXIDUM*,0.23333333333333334,3210.0270000000005,0.8380575538013129,1.3043478260869565,0.3051276886706378,14,0,0,0.023051981923546072,0.6856819769046273,0.6582448295257153,Stable
ADAPALENUM+CLINDAMYCINUM,0.0,10885.887,0.25050577139143076,1.0,0.06275314150041578,0,0,0,0.31779239099300916,0.26379546842498613,0.33710261524055773,Stable
ADEMETIONINUM,0.0,39630.664166666655,0.2869734437073878,1.0,0.08235375739327727,0,0,0,0.2124669338094961,0.4048709587725511,-0.041799984345702486,Stable
ADENOSINI PHOSPHAS,0.7166666666666667,54.55533333333333,1.8507870956109074,3.5294117647058822,0.25386698076262637,43,0,0,0.01975244812013366,0.6147808955100491,0.5447721914746803,Intermittent
ADENOSINI PHOSPHAS+CYTOCHROMUM C*+NICOTINAMIDUM,0.0,64943.29416666667,0.3034805654121704,1.0,0.09210045358289064,0,0,0,0.2118012958232135,0.3264375254616234,0.47370695515930694,Stable
ADONIS VERNALIS*&+ARNICA MONTANA/FOLIOSA NUTT./CHAMISSONIS LESS.*&+JUNIPERUS COMMUNIS*&+MENTHA PIPERITA,0.0,1492.0046666666667,0.290695755962668,1.0,0.08450402253470704,0,0,0,0.4060824302874825,0.19982216694741273,0.4408931110469619,Stable
AERVA LANNATA*&,0.0,6733.244166666667,0.36690084284963087,1.0,0.13461622848376956,0,0,0,0.6118200349225542,0.8574787226383315,0.8638791970551025,Seasonal
AESCINUM*,0.0,4510.387000000001,0.2570523950578268,1.0,0.06607593380496504,0,0,0,0.4041851908541402,0.05324634109635318,-0.03604357761139889,Stable
AESCINUM*+DIETHYLAMIN,0.0,2016.5243333333333,0.454422034352067,1.0,0.20649938530467118,0,0,0,0.052022061890868,0.49337605129561546,0.46309463474986196,Stable
AESCINUM*+HEPARIN SODIUM,0.06666666666666667,487.32399999999996,1.442871142847583,1.0714285714285714,1.876418659204805,0,0,4,0.05596057937854815,0.7166561904840244,0.1883512920280784,Lumpy / volatile
AESCULUS HIPPOCASTANUM L.*&,0.0,1229.735,0.4195874219986812,1.0,0.17605360469949938,0,0,0,0.35208354790692264,0.9131538672450799,0.8135715213387744,Stable
AESCULUS HIPPOCASTANUM L.*&+DICLOFENACUM,0.03333333333333333,561.0885,0.7617246811564782,1.0344827586206897,0.5275503402201734,0,0,2,0.034508411018292384,0.16469109400928172,0.49924438927516274,Stable
AESCULUS HIPPOCASTANUM L.+THIAMINUM,0.0,14994.710333333333,0.26884549317876993,1.0,0.07227789920253604,0,0,0,0.21509416686079263,0.7598765568150737,0.5512001154406084,Stable
AETHACIZINUM*,0.0,11278.278666666667,0.2022823553953313,1.0,0.040918151304283105,0,0,0,0.40593263933117496,0.061448135121839664,0.14199624757808074,Stable
AETHONIUM*,0.0,23059.823666666667,0.22505572163991938,1.0,0.05065007784286488,0,0,0,0.18554160508745032,0.7385013270467822,0.4562836305315298,Stable
AFATINIBUM,0.9,0.003,3.0000000000000004,10.0,0.0,1,49,4,0.13937079770897265,0.257678814348106,,Potential discontinued
AFLIBERCEPT,0.0,79.60816666666668,0.5444974185001744,1.0,0.29647743875335414,0,0,0,0.1743650084359063,0.012977965826609594,-0.04099753100766869,Stable
AGNUS CASTUS*&,0.0,20769.474500000004,0.16450036248716327,1.0,0.027060369258408108,0,0,0,0.204641776611721,0.06198607288740232,-0.3255817347312418,Stable
AGOMELATINUM,0.0,3509.9535,0.22915514115493302,1.0,0.052512078717737276,0,0,0,0.2096694172068888,0.02402649116442468,-0.34738372986745364,Stable
ALANINUM,0.0,7604.515833333334,0.20378583344651227,1.0,0.041528665913489644,0,0,0,0.5070182932729508,0.04947327832168846,0.22216177115516544,Seasonal
ALBENDAZOLUM,0.0,249643.1983333333,0.21820042764240752,1.0,0.04761142662332952,0,0,0,0.5090261765308715,0.40227714061987074,0.44902883410352246,Seasonal
ALBUMINUM HUMANUM*,0.0,5592.011666666668,0.2670240166827602,1.0,0.071301825485395,0,0,0,0.16920269128061383,0.0099221026805979,-0.28529107985451996,Stable
ALCLOMETASONUM,0.0,884.8548333333333,0.23294287289070978,1.0,0.05426238203057737,0,0,0,0.32340030317270185,0.12388356392286726,0.2897249098333221,Stable
ALECTINIBUM,0.21666666666666667,10.091000000000001,1.1662926759658676,1.2765957446808511,0.848853574709106,4,0,9,0.14706667792086348,0.004227952872972285,0.06816457670342224,Lumpy / volatile
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+GUAIFENESINUM,0.0,71588.814,0.18539342416080884,1.0,0.034370721722069585,0,0,0,0.4422736551363913,0.13598425199961484,0.39824506251396813,Stable
ALFA-BROMISOVALERIC ACID ETHYL ETHER*+DOXYLAMINUM+MENTHOL SOLITION IN ISOVALERAT,0.2833333333333333,29816.3245,1.011737149333211,1.3953488372093024,0.4502553091943061,17,0,0,0.02071503744545744,0.6078289318256086,0.27791327826544154,Intermittent
