SKU,INN,ATC4,ATC5,allocated_direct_2024
66530,MIDECAMYCINUM,J01F A Macrolides,J01F A03 Midecamycin,60.88067008406967
437362,DEXPANTHENOLUM+XYLOMETAZOLINUM,"R01A B Sympathomimetics, combinations excl. corticosteroids",R01A B06 Xylometazoline,551853.2524555053
112624,EUCALYPTUS VIMINALIS*&+MENTHOLUM*,R05C A Expectorants,R05C A10 Combinations,392.859108440114
6461,METHOTREXATUM,L04A X Other immunosuppressants,L04A X03 Methotrexate (oral formulations only and prefilled syringe/pen),6497.917057021862
68751,NORELGESTROMINUM+ETHINYLESTRADIOLUM,"G03A A Progestogens and estrogens, fixed combinations",G03A A13 Norelgestromin end ethinylestradiol,1046.2086781590444
174376,SIMETICONUM,A03A X Other drugs for functional gastrointestinal disorders,A03A X13 Silicones,0.0
153593,ROSUVASTATINUM,C10A A HMG CoA reductase inhibitors,C10A A07 Rosuvastatin,4686.552620885306
315420,ENOXAPARINUM NATRII,B01A B Heparin group,B01A B05 Enoxaparin,1823.0447949868512
172014,UMIFENOVIRUM,J05A X Other antivirals,J05A X13 Umifenovir,1768.1660147614398
5471,UNKNOWN_SKU_5471,A16A X Various alimentary tract and metabolism products,A16A X25** Various preparations,7253.565551472448
200601,UNKNOWN_SKU_200601,C01E B Other cardiac preparations,C01E B29** Others,0.0
178718,ESCITALOPRAM,N06A B Selective serotonin reuptake inhibitors,N06A B10 Escitalopram,509.94472195553476
84135,LOPERAMIDUM+SIMETICONUM,A07D A Antipropulsives,"A07D A53 Loperamide, combinations",9790.881283917257
75029,ZOPICLONUM,N05C F Benzodiazepine related drugs,N05C F01 Zopiclone,522.8272595352889
