ATC4,INN,sales_2022,sales_2023,peer_share_2023,peer_share_2022
A05A X Other drugs for bile therapy,UNKNOWN_SKU_139362,273.59000000000003,172.02999999999997,5.327717824392065e-05,8.529638238803143e-05
A05A X Other drugs for bile therapy,UNKNOWN_SKU_165460,0.0,0.0,0.0,0.0
A05A X Other drugs for bile therapy,UNKNOWN_SKU_165461,0.0,0.0,0.0,0.0
A05A X Other drugs for bile therapy,UNKNOWN_SKU_19513,977.7399999999999,1485.38,0.0004600177586464853,0.0003048272411859857
A05A X Other drugs for bile therapy,UNKNOWN_SKU_305255,6546.32,7981.360000000001,0.002471803402597795,0.0020409277164897027
A05A X Other drugs for bile therapy,UNKNOWN_SKU_446070,33082.310000000005,46492.46,0.01439857628563827,0.01031397844964873
A05A X Other drugs for bile therapy,UNKNOWN_SKU_44795,11573.439999999999,19376.559999999998,0.0060008628778353956,0.003608218735278841
A05A X Other drugs for bile therapy,UNKNOWN_SKU_452155,9.0,0.0,0.0,2.8059046072308296e-06
A05A X Other drugs for bile therapy,UNKNOWN_SKU_460985,152.51,284.92,8.823887476171526e-05,4.7547612405419315e-05
A05A X Other drugs for bile therapy,UNKNOWN_SKU_5301,0.0,0.0,0.0,0.0
A05A X Other drugs for bile therapy,UNKNOWN_SKU_5320,205496.53000000003,26141.599999999995,0.008095975601821055,0.06406707336632761
A05A X Other drugs for bile therapy,UNKNOWN_SKU_603731,21031.000000000004,35053.65,0.010856010923385511,0.006556775532741288
A05A X Other drugs for bile therapy,UNKNOWN_SKU_76356,23336.13,24014.1,0.007437095193090362,0.007275439409104176
A05A X Other drugs for bile therapy,UNKNOWN_SKU_91356,301.48,65.25999999999999,2.0210827484730928e-05,9.399156899866118e-05
A05A X Other drugs for bile therapy,ZEA MAYS*&,44995.0,48624.99,0.015059014470376443,0.014027964200261242
A05B A Liver therapy,ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,7296.379999999999,7568.33,0.001401285412604839,0.0014351770212525012
A05B A Liver therapy,ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,0.0,0.0,0.0,0.0
A05B A Liver therapy,ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,0.0,0.0,0.0,0.0
A05B A Liver therapy,ACIDUM TIAZOTICUM,54184.45,64844.259999999995,0.012005992818647634,0.01065792592343122
A05B A Liver therapy,ANTRAL*,1088835.13,1267330.21,0.23464771438698195,0.21417074748141954
A05B A Liver therapy,ANTRAL*+LECITHIN*,4230.0,2031.3300000000002,0.00037610319544557224,0.0008320288690964671
A05B A Liver therapy,ARGININUM,1006305.08,1164963.12,0.21569432441220462,0.197937323328234
A05B A Liver therapy,BICYCLOLUM*,29023.21,34131.09,0.00631941241110032,0.005708782173486826
A05B A Liver therapy,CALCII PANTOTHENAS+CYANOCOBALAMINUM+NICOTINAMIDUM+PYRIDOXINUM+RIBOFLAVINUM+SILIMARINUM*+THIAMINUM,0.0,0.0,0.0,0.0
A05B A Liver therapy,CYANOCOBALAMINUM+NICOTINAMIDUM+PHOSPHOLIPIDES*+PYRIDOXINUM+RIBOFLAVINUM+THIAMINUM+TOCOPHEROLI ACETAS*,65473.73,56023.450000000004,0.010372809225918607,0.01287849492374171
A05B A Liver therapy,ORNITHINUM,35081.71,54718.28,0.01013115542884984,0.006900471748763646
A05B A Liver therapy,PHOSPHOLIPIDES*,644791.41,711648.73,0.13176261926313462,0.126828621197498
A05B A Liver therapy,SILIBININUM,0.0,0.0,0.0,0.0
A05B A Liver therapy,SILIMARINUM*,1839037.8399999999,1731756.0100000002,0.32063671047691633,0.3617334690876618
A05B A Liver therapy,SILYBUM MARIANUM*&,116555.09000000001,114536.95999999999,0.021206656059144346,0.02292605194329479
A05B A Liver therapy,UNKNOWN_SKU_112283,672.6099999999999,2.19,4.0548113700176887e-07,0.00013230045807162522
A05B A Liver therapy,UNKNOWN_SKU_13960,45383.19,42835.66999999999,0.007931075879375598,0.008926743321912553
A05B A Liver therapy,UNKNOWN_SKU_13961,32817.560000000005,36130.450000000004,0.0066895963225504845,0.006455119936951645
A05B A Liver therapy,UNKNOWN_SKU_443798,99.69000000000001,329.32,6.097399453763585e-05,1.96087371064366e-05
A05B A Liver therapy,UNKNOWN_SKU_5683,80155.61000000002,73766.92000000001,0.01365803406151531,0.015766378614666073
A05B A Liver therapy,UNKNOWN_SKU_589,12849.870000000003,13375.49,0.0024764880790665703,0.002527532577810076
