SKU,missing_rate,negative_count,zero_rate,unknown_inn
317313,0.0,0,0.9333333333333333,False
317426,0.0,0,0.05,False
316907,0.0,0,0.15,False
390793,0.0,0,0.9666666666666667,False
17830,0.0,0,0.9333333333333333,False
363652,0.0,0,0.9,False
225952,0.0,0,0.9833333333333333,False
175338,0.0,0,0.13333333333333333,False
135101,0.0,0,0.9833333333333333,False
132334,0.0,0,0.9166666666666666,False
86137,0.0,0,0.55,False
91059,0.0,0,0.9833333333333333,False
303612,0.0,0,0.9166666666666666,False
17174,0.0,0,0.9166666666666666,True
136015,0.0,0,0.65,False
389690,0.0,0,0.9833333333333333,False
63157,0.0,0,0.0,False
102934,0.0,0,0.9833333333333333,False
19497,0.0,0,0.9666666666666667,True
20984,0.0,0,0.05,True
14351,0.0,0,0.95,False
103264,0.0,0,0.25,False
326594,0.0,0,0.1,False
230182,0.0,0,0.45,False
33457,0.0,0,0.95,False
485160,0.0,0,0.7166666666666667,False
410515,0.0,0,0.8666666666666667,False
61586,0.0,0,0.25,True
325842,0.0,0,0.0,False
94604,0.0,0,0.8166666666666667,False
111015,0.0,0,0.48333333333333334,False
20863,0.0,0,0.6,False
187931,0.0,0,0.8833333333333333,False
82431,0.0,0,0.9333333333333333,False
161530,0.0,0,0.9666666666666667,False
161579,0.0,0,0.16666666666666666,True
31588,0.0,0,0.9166666666666666,False
20943,0.0,0,0.8833333333333333,False
187998,0.0,0,0.13333333333333333,False
7771,0.0,0,0.0,False
412540,0.0,0,0.8166666666666667,True
295279,0.0,0,0.0,False
110472,0.0,0,0.25,False
61784,0.0,0,0.95,False
337437,0.0,0,0.6166666666666667,False
63732,0.0,0,0.95,False
105121,0.0,0,0.9166666666666666,False
79592,0.0,0,0.9666666666666667,False
330973,0.0,0,0.9666666666666667,False
237247,0.0,0,0.8333333333333334,False
549987,0.0,0,0.0,False
88291,0.0,0,0.7166666666666667,False
389849,0.0,0,0.26666666666666666,False
446299,0.0,0,0.05,False
39426,0.0,0,0.5333333333333333,True
174067,0.0,0,0.85,False
29984,0.0,0,0.8833333333333333,False
363781,0.0,0,0.4166666666666667,False
82135,0.0,0,0.6666666666666666,False
346265,0.0,0,0.9166666666666666,False
196186,0.0,0,0.55,False
26706,0.0,0,0.48333333333333334,False
485159,0.0,0,0.38333333333333336,False
169055,0.0,0,0.8833333333333333,True
137373,0.0,0,0.5666666666666667,False
127394,0.0,0,0.35,False
121908,0.0,0,0.9833333333333333,False
383341,0.0,0,0.6,False
135595,0.0,0,0.8833333333333333,False
317955,0.0,0,0.016666666666666666,False
192567,0.0,0,0.8,False
298018,0.0,0,0.9,False
140733,0.0,0,0.0,False
84683,0.0,0,0.9166666666666666,False
166631,0.0,0,0.8333333333333334,False
9845,0.0,0,0.9166666666666666,False
128865,0.0,0,0.95,False
446303,0.0,0,0.06666666666666667,False
173087,0.0,0,0.95,False
154467,0.0,0,0.6833333333333333,False
358441,0.0,0,0.8833333333333333,False
145005,0.0,0,0.9833333333333333,False
133177,0.0,0,0.9333333333333333,False
17903,0.0,0,0.9666666666666667,False
402583,0.0,0,0.9833333333333333,False
57175,0.0,0,0.95,False
