INN,SKU_A,SKU_B,diff_log_correlation,same_form,strength_A,strength_B
GENTAMICINUM,99390,99389,-0.3413513084329094,True,80.0,40.0
GENTAMICINUM,4915,230181,-0.239491446660599,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400572,410764,-0.6994955387891839,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400572,410765,-0.7062819395464969,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400572,410766,-0.582253000837956,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,40053,410764,-0.7247329141553116,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,40053,410765,-0.8383589739782766,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,40053,410766,-0.5757969874900954,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,25498,410764,-0.7392143766533169,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,25498,410765,-0.8340779545796999,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,25498,410766,-0.592617616864335,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400571,410764,-0.728813503955544,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400571,410765,-0.8364823957251702,True,,
GENTAMICINUM+TRYPTOPHANUM+ZINCI SULFAS*,400571,410766,-0.5804869446322081,True,,
GLIMEPIRIDUM+METFORMINUM,112803,189547,-0.22018680221578424,True,,
GLYCINUM,440478,689397,-0.24281048573491157,True,100.0,100.0
GLYCOPYRRONII BROMIDUM+INDACATEROLUM,356590,356589,-0.36250266288550387,True,,
GOLIMUMABUM,273017,326948,-0.35971036179934673,True,,
GONADOTROPINUM CHORIONICUM,494143,4016,-0.3537997665271387,True,,
GOSERELINUM,799897,5974,-0.20329460581239844,True,10.8,3.6
