INN,SKU,start,end,duration,peer_count,focal_before_mean,peer_before_mean,peer_during_mean,peer_uplift,peer_seasonal_baseline,peer_uplift_vs_prior_year,apparent_absorption_ratio,potential_availability_event
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,505337,2020-01-01,2020-01-01,1,10,0.35000000000000003,46879.72666666666,54196.439999999995,0.15607414662116206,37370.46000000001,0.4502481371650225,20904.895238095236,True
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,504115,2023-02-01,2023-03-01,2,10,92.39,52041.16,45904.295,-0.11792329379283638,59854.41,-0.2330674548458502,-66.42347656672806,True
ACIDUM ALGINICUM*+CALCII CARBONAS*+NATRII HYDROCARBONAS*,504115,2023-08-01,2023-09-01,2,10,2.8366666666666664,46078.4,45508.475000000006,-0.012368593527552945,42132.65,0.08012372827249187,-200.91363102232515,True
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,92251,2021-08-01,2021-08-01,1,1,4.6000000000000005,6094.923333333333,6617.36,0.08571669208855236,4969.61,0.3315652536114504,113.57318840579705,True
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,92251,2022-05-01,2022-07-01,3,1,8.076666666666666,6444.169999999999,4246.79,-0.34098727997554373,6094.923333333333,-0.30322503373025744,-272.06520841931484,True
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,92251,2022-09-01,2022-09-01,1,1,3.046666666666667,4399.7266666666665,5907.92,0.34279250680724116,6483.85,-0.08882531212165616,495.0306345733042,True
ACIDUM ALGINICUM*+KALII HYDROCARBONATIS,92251,2022-11-01,2022-11-01,1,1,3.5733333333333337,5439.12,5799.94,0.06633793701922365,6755.54,-0.1414542730854973,100.97574626865662,True
ACIDUM AZELAICUM,79644,2021-03-01,2021-03-01,1,3,6.956666666666667,8299.716666666667,7104.73,-0.14397921214178006,8057.62,-0.11825948605171259,-171.7757546717778,True
ACIDUM AZELAICUM,79643,2021-07-01,2021-10-01,4,3,1.6500000000000001,7505.366666666666,7899.4975,0.05251320166458684,5877.5325,0.34401596248085403,238.86717171717243,True
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,126835,2021-02-01,2021-07-01,6,2,4.096666666666667,153.98333333333332,144.095,-0.0642169065916224,106.255,0.3561244176744624,-2.4137510170870597,True
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,126835,2023-10-01,2023-10-01,1,2,13.99,146.34666666666666,170.34,0.1639486151603499,94.43,0.8038758869003494,1.7150345484870149,True
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,111557,2019-10-01,2019-10-01,1,2,5.73,175.05666666666664,153.9,-0.12085610373783712,,,-3.692262943571839,True
ACIDUM BENZOICUM+ACIDUM MALICUM*+ACIDUM SALICYLICUM*,111557,2020-01-01,2020-03-01,3,2,1.5,157.03666666666666,107.23666666666666,-0.3171233894419562,87.80666666666667,0.2212816035228911,-33.199999999999996,True
ACIDUM BORICUM*,111856,2020-01-01,2020-01-01,1,18,12.206666666666665,249875.87333333332,264029.66,0.05664327042805595,295565.29,-0.10669598585138332,1159.5128345166565,True
ACIDUM BORICUM*,111856,2020-07-01,2020-11-01,5,18,3.6,268657.10000000003,200631.962,-0.2532043188138338,332606.958,-0.3967896426267787,-18895.871666666677,True
ACIDUM BORICUM*,111856,2021-03-01,2021-04-01,2,18,3.9333333333333336,153316.1166666667,168865.355,0.10141946372891636,330413.48,-0.48892716180949997,3953.1961864406726,True
