INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0,0.0,0.0,0.0,0.0
ACIDUM HOPANTENICUM,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.01589641519262732,0.023911502900364645,0.008015087707737324,0.00029057922380261794,0.0011506146957426973
ACIDUM IBANDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.21060840850559642,0.25366470164264254,0.04305629313704612,0.013447093832378576,-0.009528568176953772
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.0,0.0,0.0,0.0,0.0
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.00044590093597536806,0.0,-0.00044590093597536806,0.0,0.0
ACIDUM MEFENAMICUM,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",43573929.279999994,46944283.050000004,0.07734794235201026,0.053048837876114543,0.05203461510740869,-0.001014222768705851,0.03477337996450873,0.0005667234558374423
ACIDUM METHYLSILICICUM*,ATC4,A07B C Others intestinal adsorbents,3514401.2399999998,4054223.8800000004,0.15360301887441885,0.19476162886853524,0.1806747411294908,-0.01408688773904443,0.012951459584571279,-0.018593560680753435
ACIDUM MYCOPHENOLICUM,ATC4,L04A A Selective immunosuppressants,41083.75,45688.8,0.11208932972282226,0.13276222350686098,0.14693688606398067,0.014174662557119688,0.027449430693451377,0.06924678954857806
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.0,0.0,0.0,0.0,0.0
ACIDUM PAMIDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.0025829637573240955,0.00013110192718947743,-0.0024518618301346182,-0.00036391301289733543,0.00010176639444210253
ACIDUM PIPEMIDICUM,ATC3,J01M QUINOLONE ANTIBACTERIALS,3931992.3600000003,3139361.9400000004,-0.20158493390358467,0.013816326438640386,0.017768416342589664,0.003952089903949277,0.0010838395021990112,-0.0010444695364417132
ACIDUM RISEDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.07322532663022559,0.08909743626242128,0.015872109632195694,-0.0005583875386499237,0.003408666545888367
ACIDUM RYBONUCLEINICUM*,ATC4,J05A X Other antivirals,8059363.58,6554152.339999999,-0.18676552125471935,0.012032314839430534,0.007733562994966944,-0.00429875184446359,9.575070798921621e-05,-0.000360857943610445
ACIDUM SALICYLICUM*+BETAMETHASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",551264.89,606842.1,0.1008176123823159,0.8424729534289769,0.8523258521450638,0.009852898716086966,0.02086118876513754,0.03710069558273332
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,ATC4,D11A X Other dermatologicals,440579.11000000004,447535.11,0.01578831098006428,0.15717320324152456,0.12653045254929832,-0.030642750692226245,0.020866062189593998,0.07196750405336602
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,2220558.8,2405397.58,0.08323975928941874,0.0,0.0,0.0,0.0,0.0
ACIDUM SALICYLICUM*+FLUMETASONUM,ATC4,"D07B B Corticosteroids, moderately potent, combinations with antiseptics",399099.22,427618.18000000005,0.07145832056499657,0.10873516615742822,0.10442621967101581,-0.004308946486412404,0.010060215276813028,-0.0014979606892609743
ACIDUM SALICYLICUM*+FLUOROURACILUM,ATC3,D11A OTHER DERMATOLOGICAL PREPARATIONS,2006681.9699999997,2153915.1199999996,0.07337144211247382,0.008917347276509394,0.01926169216918817,0.010344344892678776,-0.002212762031470184,0.013115034089410242
ACIDUM SALICYLICUM*+MOMETASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",551264.89,606842.1,0.1008176123823159,0.09458061078404613,0.10943548577133987,0.014854874987293737,-0.0006898234601092901,-0.004080243673769815
ACIDUM SALICYLICUM*+UREA PURA*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.0,0.0,0.0,0.0,0.0
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.46201191578185363,0.533406474478639,0.07139455869678535,-0.051933886142407126,0.04724248306511292
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0,0.0,0.0,0.0,0.0
ACIDUM SUCCINICUM+INOSINUM+NICOTINAMIDUM+RIBOFLAVINUM,ATC4,N07X X Other nervous system drugs,2761264.92,2642752.95,-0.04291944939495329,8.463512439798787e-06,0.0,-8.463512439798787e-06,0.0,0.0
ACIDUM THIOCTICUM*,ATC4,A16A X Various alimentary tract and metabolism products,4174316.6599999997,4368090.35,0.04642045771391001,0.11176157153348304,0.12525187351035447,0.013490301976871427,0.002498243365733843,0.025030683993491024
ACIDUM TIAZOTICUM+AMIODARONUM,ATC4,C01E X Other cardiac combination products,15404551.419999996,12940044.719999999,-0.15998561936703237,2.3369716532777823e-08,0.0,-2.3369716532777823e-08,0.0,0.0
ACIDUM TIAZOTICUM+CRATAEGUS L.*&+DIPYRIDAMOLUM+HERBA MELISSAE,ATC4,C01E X Other cardiac combination products,15404551.419999996,12940044.719999999,-0.15998561936703237,0.0,0.0,0.0,0.0,0.0
ACIDUM TIAZOTICUM+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.04245148490467239,0.042784200468171614,0.00033271556349922377,0.0025141881529851945,-0.0024084485736149477
ACIDUM UNDECYLENICUM+ZINC UNDECYLENATE,ATC4,D01A E Other antifungals for topical use,3596177.9400000004,3618248.29,0.006137168507295732,0.0,0.0,0.0,0.0,0.0
