INN,market_level,market,market_sales_2022,market_sales_2023,market_growth,peer_share_2022,peer_share_2023,share_change_12m,share_change_3m,share_change_6m,sales_2022,sales_2023,delta_sales,market_effect,share_effect,interaction,reconciliation_error,growth_type
ACIDUM FOLICUM+FERRI (III) HYDROXYDI POLYMALTOSUM COMPLEXUS*,ATC3,B03A IRON PREPARATIONS,1078604.6300000001,1422195.19,0.3185509782208147,0.03191046009138677,0.04769106271551938,0.01578060262413261,0.0013581279679187944,-0.0006904235625214208,34418.77,67826.0,33407.23,10964.132852657225,17021.031054579587,5422.066092763191,0.0,Share-led Growth
ACIDUM FOLICUM+FERRI SULFAS*,ATC3,B03A IRON PREPARATIONS,1078604.6300000001,1422195.19,0.3185509782208147,0.13323400994486737,0.07907473656973907,-0.0541592733751283,-0.05385050492033575,0.019850117880210544,143706.82,112459.70999999999,-31247.110000000015,45777.94808800252,-58416.44301984912,-18608.615068153413,-7.275957614183426e-12,Defend
ACIDUM FORMICUM*,ATC4,M02A X Other topical products for joint and muscular pain,10598498.84,10621141.750000002,0.002136426143157566,0.060640334985402534,0.051355972158078,-0.009284362827324533,-0.006175980702595896,-0.0014391317518717972,642696.5200000001,545459.0599999999,-97237.4600000002,1373.073647444443,-98400.30865553817,-210.2249919064736,1.4551915228366852e-11,Defend
ACIDUM FORMICUM*+SPIRITUS AETHYLICUS*,ATC4,M02A X Other topical products for joint and muscular pain,10598498.84,10621141.750000002,0.002136426143157566,0.0036306028411095246,0.0032305914757234074,-0.0004000113653861172,0.0005360880367451166,-0.0011970140563531254,38478.94,34312.57,-4166.370000000003,82.20741337699457,-4239.51999203158,-9.057421345415772,-1.8189894035458565e-12,Defend
ACIDUM FUSIDICUM+BETAMETHASONUM,ATC4,"D07C C Corticosteroids, potent, combinations with antibiotics",1638612.3800000004,1879188.55,0.14681700988979451,1.2266476346285137e-06,0.0,-1.2266476346285137e-06,0.0,0.0,2.01,0.0,-2.01,0.29510218987848685,-2.01,-0.29510218987848685,0.0,Defend
ACIDUM GADOPENTETICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM GADOTERICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.929966474603812,0.7723464225391793,-0.1576200520646327,-0.02244091195404696,0.011731219853097219,4979.179999999999,5811.93,832.7500000000009,2018.8456203879234,-843.9214017618531,-342.17421862606983,4.547473508864641e-13,Defend
ACIDUM GADOXETICUM,ATC4,V08C A Paramagnetic contrast media,5354.15,7525.03,0.40545744889478263,0.00013073970658274421,0.00022458382225718702,9.384411567444281e-05,-0.0006537186534169371,0.00035949568498818346,0.7,1.69,0.99,0.2838202142263478,0.502455471938318,0.2037243138353344,-2.220446049250313e-16,Share-led Growth
ACIDUM GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.020778314867795376,0.02180722915947091,0.0010289142916755332,-0.001334764842771445,0.0011207764204581513,174787.61000000002,185138.67,10351.059999999998,1615.7996828005614,8655.248083450135,80.01223374928516,1.6370904631912708e-11,Share-led Growth
ACIDUM GAMMA-AMINOBUTYRICUM*+PIRACETAMUM,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,4.567273717059798e-06,6.443037724226164e-07,-3.922969944637181e-06,0.0,-1.2581100863943741e-06,38.42,5.470000000000001,-32.95,0.35516833151501737,-33.00010347748273,-0.3050648540322869,0.0,Defend
ACIDUM GLUTAMICUM,ATC4,A16A A Amino acids and derivates,707970.4400000001,893719.11,0.26236783275866693,0.0573982862900321,0.044944814931841395,-0.012453471358190707,-0.025063362641537825,-0.009065095165736954,40636.29,40168.04,-468.25,10661.655338652692,-8816.689596985672,-2313.2157416670166,-3.183231456205249e-12,Defend
ACIDUM GLUTAMICUM+GLYCINUM+PYRIDOXINUM,ATC4,S01X A Other ophthalmologicals,3420095.9600000004,3696662.8100000005,0.08086523104456989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM GLYCYRRHIZICUM,ATC4,G01A X Other antiinfectives and antiseptics,657961.5399999999,727061.9299999999,0.10502192878933325,0.0071877453505869065,0.01000872099024632,0.002820975639659413,-0.001476399465878242,-0.0002823077961050906,4729.26,7276.959999999999,2547.699999999999,496.67600694624207,1856.0934761727922,194.93051688096494,-4.547473508864641e-13,Share-led Growth
ACIDUM GLYCYRRHIZICUM+CYSTEINUM+GLYCINUM,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0014351770212525014,0.001401285412604839,-3.389160864766252e-05,-0.00017429114180670833,0.0004592175779189894,7296.379999999999,7568.33,271.9500000000007,454.99827565396043,-172.30352203439088,-10.744753619569162,3.410605131648481e-13,Defend
ACIDUM GLYCYRRHIZICUM+PHOSPHOLIPIDES*,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM HOPANTENICUM,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.01589641519262732,0.023911502900364645,0.008015087707737324,0.00029057922380261794,0.0011506146957426973,133720.97,203003.5,69282.53,1236.1648569357023,67423.08186633173,623.2832767325733,-1.4551915228366852e-11,Share-led Growth
ACIDUM IBANDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.21060840850559642,0.25366470164264254,0.04305629313704612,0.013447093832378576,-0.009528568176953772,23036.79,28655.37,5618.579999999998,754.7025953752918,4709.587761545693,154.28964307901603,-2.7284841053187847e-12,Share-led Growth
ACIDUM LACTICUM+ACIDUM SALICYLICUM*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM LACTICUM+ACIDUM SALICYLICUM*+POLIDOCANOLUM,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.00044590093597536806,0.0,-0.00044590093597536806,0.0,0.0,220.49,0.0,-220.49,17.25914418507789,-220.49,-17.25914418507789,0.0,Defend
ACIDUM MEFENAMICUM,ATC3,"M01A ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",43573929.279999994,46944283.050000004,0.07734794235201026,0.053048837876114543,0.05203461510740869,-0.001014222768705851,0.03477337996450873,0.0005667234558374423,2311546.31,2442727.7,131181.39000000013,178793.35072988202,-44193.67119775455,-3418.289532127614,2.9103830456733704e-10,Defend
ACIDUM METHYLSILICICUM*,ATC4,A07B C Others intestinal adsorbents,3514401.2399999998,4054223.8800000004,0.15360301887441885,0.19476162886853524,0.1806747411294908,-0.01408688773904443,0.012951459584571279,-0.018593560680753435,684470.51,732495.8499999999,48025.33999999985,105136.73666651302,-49506.97573783853,-7604.420928674604,-3.637978807091713e-11,Defend
ACIDUM MYCOPHENOLICUM,ATC4,L04A A Selective immunosuppressants,41083.75,45688.8,0.11208932972282226,0.13276222350686098,0.14693688606398067,0.014174662557119688,0.027449430693451377,0.06924678954857806,5454.37,6713.370000000001,1259.000000000001,611.3766773602706,582.348292831066,65.27502980866406,2.2737367544323206e-13,Market-led Growth
ACIDUM NICOTINOYL-GAMMA-AMINOBUTYRICUM*,ATC4,N06B X Other psychostimulants and nootropics,8412020.469999999,8489784.22,0.009244360528761542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM PAMIDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.0025829637573240955,0.00013110192718947743,-0.0024518618301346182,-0.00036391301289733543,0.00010176639444210253,282.53,14.809999999999999,-267.71999999999997,9.255895646545426,-268.18979588996785,-8.786099756577567,5.684341886080802e-14,Defend
ACIDUM PIPEMIDICUM,ATC3,J01M QUINOLONE ANTIBACTERIALS,3931992.3600000003,3139361.9400000004,-0.20158493390358467,0.013816326438640386,0.017768416342589664,0.003952089903949277,0.0010838395021990112,-0.0010444695364417132,54325.69000000001,55781.49,1455.7999999999884,-10951.240627916633,15539.587308361693,-3132.546680445075,3.183231456205249e-12,Share-led Growth
ACIDUM RISEDRONICUM,ATC4,M05B A Bisphosphonates,109382.1,112965.54,0.03276075335909612,0.07322532663022559,0.08909743626242128,0.015872109632195694,-0.0005583875386499237,0.003408666545888367,8009.539999999999,10064.94,2055.4000000000015,262.3985644598147,1736.1246829997926,56.876752540395145,-9.094947017729282e-13,Share-led Growth
ACIDUM RYBONUCLEINICUM*,ATC4,J05A X Other antivirals,8059363.58,6554152.339999999,-0.18676552125471935,0.012032314839430534,0.007733562994966944,-0.00429875184446359,9.575070798921621e-05,-0.000360857943610445,96972.8,50686.95,-46285.850000000006,-18111.17553952965,-34645.204054727685,6470.529594257333,-7.275957614183426e-12,Structural Decline
ACIDUM SALICYLICUM*+BETAMETHASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",551264.89,606842.1,0.1008176123823159,0.8424729534289769,0.8523258521450638,0.009852898716086966,0.02086118876513754,0.03710069558273332,464425.76000000007,517227.21,52801.44999999995,46822.29625204243,5431.557126904823,547.5966210526954,0.0,Market-led Growth
ACIDUM SALICYLICUM*+CAPSICUM ANNUUM+RICINUS COMMUNIS,ATC4,D11A X Other dermatologicals,440579.11000000004,447535.11,0.01578831098006428,0.15717320324152456,0.12653045254929832,-0.030642750692226245,0.020866062189593998,0.07196750405336602,69247.23000000001,56626.82,-12620.41000000001,1093.2968017480357,-13500.555827932923,-213.150973815124,0.0,Defend
ACIDUM SALICYLICUM*+CLOTRIMAZOLUM,ATC4,D01A C Imidazole and triazole derivatives,2220558.8,2405397.58,0.08323975928941874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM SALICYLICUM*+FLUMETASONUM,ATC4,"D07B B Corticosteroids, moderately potent, combinations with antiseptics",399099.22,427618.18000000005,0.07145832056499657,0.10873516615742822,0.10442621967101581,-0.004308946486412404,0.010060215276813028,-0.0014979606892609743,43396.119999999995,44654.54999999999,1258.429999999993,3101.013854237058,-1719.6971817489311,-122.88667248813624,2.7284841053187847e-12,Defend
ACIDUM SALICYLICUM*+FLUOROURACILUM,ATC3,D11A OTHER DERMATOLOGICAL PREPARATIONS,2006681.9699999997,2153915.1199999996,0.07337144211247382,0.008917347276509394,0.01926169216918817,0.010344344892678776,-0.002212762031470184,0.013115034089410242,17894.280000000002,41488.049999999996,23593.769999999993,1312.9291291643983,20757.810387600082,1523.0304832355073,7.275957614183426e-12,Share-led Growth
ACIDUM SALICYLICUM*+MOMETASONUM,ATC3,"D07X CORTICOSTEROIDS, OTHER COMBINATIONS",551264.89,606842.1,0.1008176123823159,0.09458061078404613,0.10943548577133987,0.014854874987293737,-0.0006898234601092901,-0.004080243673769815,52138.97,66410.06,14271.089999999997,5256.5264674731925,8188.971025834234,825.5925066925709,0.0,Share-led Growth
ACIDUM SALICYLICUM*+UREA PURA*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
ACIDUM SALICYLICUM*+ZINCI OXYDUM*,ATC4,D02A F Salicylic acid preparations,494482.02999999997,533188.26,0.07827631269027124,0.46201191578185363,0.533406474478639,0.07139455869678535,-0.051933886142407126,0.04724248306511292,228456.59,284406.06999999995,55949.47999999995,17882.739474993075,35303.32631534057,2763.4142096662767,2.9103830456733704e-11,Share-led Growth
ACIDUM SUCCINICUM+INOSINUM+MEGLUMINUM+METHIONINUM,ATC4,A05B A Liver therapy,5083958.21,5400991.069999999,0.06235945436695456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market-led Growth
