INN,sales_2019,sales_2022,sales_2023,known_inn,YoY,CAGR,portfolio_share_2023,sku_count,brand_count,strength_breadth,form_breadth,pack_breadth
UNKNOWN_SKU_427470,0.0,213.38,48.89,False,-0.7708782453838223,,5.76005710188415e-08,1,1,0,1,1
UNKNOWN_SKU_427474,0.0,0.0,0.0,False,,,0.0,1,1,0,1,1
UNKNOWN_SKU_428841,8280.84,13532.68,4234.129999999999,False,-0.687118146590328,-0.15438544683556976,4.9885110609124015e-06,1,1,0,1,1
UNKNOWN_SKU_428842,7381.64,7229.22,9731.460000000001,False,0.34612862798476196,0.07153481265114014,1.1465282324545211e-05,1,1,0,1,1
UNKNOWN_SKU_428846,36254.83,49035.299999999996,59890.10000000001,False,0.22136705597804074,0.1336977671894013,7.056052277307261e-05,1,1,1,1,1
UNKNOWN_SKU_429709,474970.23,574064.59,756903.97,False,0.3184996656909287,0.12355308955619626,0.0008917590688980992,1,1,0,1,1
UNKNOWN_SKU_434231,0.0,149.2,83.57000000000001,False,-0.4398793565683645,,9.845939292380005e-08,1,1,0,1,1
UNKNOWN_SKU_434983,46.57,109.78999999999999,211.85000000000002,False,0.9295928590946356,0.4604293678004987,2.495946199701692e-07,1,1,0,1,0
UNKNOWN_SKU_435431,190982.88999999998,132853.50999999998,112671.46,False,-0.15191205712216393,-0.12359496233977973,0.00013274576464566496,1,1,0,1,1
UNKNOWN_SKU_435435,429568.18999999994,194330.92000000004,200882.93000000002,False,0.03371573602389155,-0.17305289703865334,0.00023667358306275245,1,1,0,1,1
UNKNOWN_SKU_435648,1088.3400000000001,218.91,194.41,False,-0.11191813987483445,-0.34988752128850953,2.2904739234553027e-07,1,1,0,1,1
UNKNOWN_SKU_437039,513472.18,507928.18000000005,362746.79000000004,False,-0.28583054793297746,-0.08320620578526972,0.00042737619634386964,1,1,0,1,1
UNKNOWN_SKU_437040,0.0,69647.36,78673.56,False,0.1295985949790488,,9.269057026150721e-05,1,1,0,1,1
UNKNOWN_SKU_437161,23036.39,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
UNKNOWN_SKU_437164,82919.95000000001,58295.46,51108.740000000005,False,-0.12328095532653816,-0.11394835605829012,6.021461665071601e-05,1,1,0,1,1
UNKNOWN_SKU_437167,94504.11,69571.41999999998,75366.45000000001,False,0.08329612935886654,-0.054999930043140854,8.8794243314849e-05,1,1,0,1,1
UNKNOWN_SKU_437169,51935.520000000004,34953.36,29056.4,False,-0.16870938873973773,-0.13514294935353155,3.4233283529389774e-05,1,1,0,1,1
UNKNOWN_SKU_437351,183773.7,17345.91,48022.729999999996,False,1.7685333314885177,-0.2850249751798216,5.65787823662027e-05,1,1,0,1,1
UNKNOWN_SKU_43832,27313.76,14556.5,19662.570000000003,False,0.3507759420190295,-0.07888321098232587,2.3165785635057118e-05,1,1,0,1,1
UNKNOWN_SKU_438586,1544.5599999999997,3809.66,263.38,False,-0.930865221568329,-0.35739440512154785,3.1030555113402484e-07,1,1,0,1,0
UNKNOWN_SKU_43898,126.86,0.0,0.0,False,,-1.0,0.0,1,1,0,1,1
