INN,market_level,market,peer_count_roster,n_atc4,n_atc3
ALTHAEA OFFICINALIS*&+ORIGANUM VULGARE*&+TUSSILAGO FARFARA*&,ATC4,R05C A Expectorants,40,1,1
ALTHAEA OFFICINALIS*&+THYMUS SERPYLLUM*&,Excluded,multiple_ATC3,0,2,2
ALUMINII HYDROXYDUM*+BENZOCAINUM+MAGNESII HYDROXIDE*,ATC3,A02A ANTACIDS,9,1,1
ALUMINII HYDROXYDUM*+CALCII CARBONAS*+DIHYDROXYALUMINUM AMINOACETATE+MAGNESII TRISILICAS*,ATC4,"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",5,1,1
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*,ATC4,"A02A D Combinations and complexes of aluminium, calcium and magnesium compounds",5,1,1
ALUMINII HYDROXYDUM*+MAGNESII HYDROXIDE*+SIMETICONUM,ATC3,A02A ANTACIDS,9,1,1
ALUMINII PHOSPHAS*,ATC3,A02A ANTACIDS,9,1,1
ALVERINUM+SIMETICONUM,ATC4,A03A X Other drugs for functional gastrointestinal disorders,10,1,1
AMANTADINUM,ATC3,N04B DOPAMINERGIC AGENTS,10,1,1
AMBAZONUM,ATC4,R02A A Antiseptics,46,1,1
AMBROXOLUM,ATC4,R05C B Mucolytics,11,1,1
AMBROXOLUM+CARBOCISTEINUM,ATC3,"R05C EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPRESSANTS",50,2,1
AMBROXOLUM+GLYCYRRHIZA GLABRA/URALENSIS*&+KETOTIFENUM+THEOBROMINUM,ATC4,R05F B Other cough suppressants and expectorants,5,1,1
AMBROXOLUM+LORATADINUM,ATC4,R05C B Mucolytics,11,1,1
AMBROXOLUM+SALBUTAMOLUM,ATC4,R05C B Mucolytics,11,1,1
AMIKACINUM,ATC4,J01G B Other aminoglycosides,4,1,1
AMIKACINUM+BENZALKONII CHLORIDUM+LIDOCAINUM+NIMESULIDUM,ATC4,"D06C ANTIBIOTICS AND CHEMOTERAPEUTICS, COMBINATIONS",6,1,1
AMINOCAPRONIC ACID,ATC3,B02A ANTIFIBRINOLYTICS,4,1,1
AMINOPHYLLINUM,ATC4,R03D A Xanthines,4,1,1
AMINOPHYLLINUM+ATROPA BELLADONNA*&+COFFEINUM*+CYTISINUM*+EPHEDRINUM*+PARACETAMOLUM+PHENOBARBITALUM,ATC4,R03D A Xanthines,4,1,1
AMINOPHYLLINUM+KALII CHLORIDUM*+MAGNESII CHLORIDUM*,ATC4,R03D A Xanthines,4,1,1
AMINOPHYLLINUM+SALBUTAMOLUM,ATC3,R03D OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,9,1,1
AMIODARONUM,ATC3,"C01B ANTIARRHYTHMICS, CLASS I AND III",8,1,1
AMISULPRIDUM,ATC4,N05A L Benzamides,3,1,1
AMITRIPTYLINE,ATC4,N06A A Non-selective monoamine reuptake inhibitors,5,1,1
AMLODIPINUM,ATC4,C08C A Dihydropyridine derivatives,7,1,1
AMLODIPINUM+ATENOLOLUM,ATC4,"C07F X Beta blocking agents, other combinations",3,1,1
AMLODIPINUM+ATORVASTATINUM,ATC4,C10B X Lipid modifying agents in combination with other drugs,6,1,1
AMLODIPINUM+BISOPROLOLUM,ATC3,"C07F BETA BLOCKING AGENTS, OTHER COMBINATIONS",4,1,1
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+OLMESARTANUM MEDOXOMILUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,4,1,1
AMLODIPINUM+HYDROCHLOROTHIAZIDUM+VALSARTANUM,ATC3,"C09D ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",13,1,1
AMLODIPINUM+INDAPAMIDUM,Excluded,C08G CALCIUM CHANNEL BLOCKERS AND DIURETICS,2,1,1
AMLODIPINUM+INDAPAMIDUM+PERINDOPRILUM,ATC3,"C09B ACE INHIBITORS, COMBINATIONS",17,1,1
AMLODIPINUM+LISINOPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,6,1,1
AMLODIPINUM+OLMESARTANUM MEDOXOMILUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,4,1,1
AMLODIPINUM+PERINDOPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,6,1,1
AMLODIPINUM+RAMIPRILUM,ATC4,C09B B ACE inhibitors and calcium channel blockers,6,1,1
AMLODIPINUM+TELMISARTANUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,4,1,1
AMLODIPINUM+VALSARTANUM,ATC4,C09D B Angiotensin II receptor blockers (ARBs) and calcium channel blockers,4,1,1
AMMONIUM FERRIC CITRATE+CYANOCOBALAMINUM+FOLIC ACID,ATC4,B03A E Iron in other combinations,4,1,1
AMMONIUM*,ATC3,R07A OTHER RESPIRATORY SYSTEM PRODUCTS,4,1,1
AMMONIUM*+ANISUM VULGARE GAERTN.*&,ATC4,R05C A Expectorants,40,1,1
AMMONIUM*+ANISUM VULGARE GAERTN.*&+GLYCYRRHIZA GLABRA/URALENSIS*&,ATC4,R05C A Expectorants,40,1,1
AMMONIUM*+GLYCEROLUM+SPIRITUS AETHYLICUS*,ATC4,D02A X Other emollientsand protectives,3,1,1
AMOROLFINUM,ATC4,D01A E Other antifungals for topical use,9,1,1
AMOXICILLINUM,ATC3,"J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS",8,1,1
AMOXICILLINUM+ACIDUM CLAVULANICUM,ATC4,"J01C R Combinations of penicillins, incl. beta-lactamase inhibitors",3,1,1
AMOXICILLINUM+CLARITHROMYCINUM+OMEPRAZOLUM,ATC3,A02B DRUGS FOR TREATMENT OF PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE,20,1,1
AMPICILLINUM,ATC3,"J01C BETA-LACTAM ANTIBACTERIALS, PENICILLINS",8,1,1
AMPICILLINUM+SULBACTAMUM,ATC4,"J01C R Combinations of penicillins, incl. beta-lactamase inhibitors",3,1,1
AMTOLMETINE GUACIL,ATC4,M01A B Acetic acid derivatives and related substances,11,1,1
AMYLMETACRESOLUM+ASCORBIC ACID+DICHLOROBENZYL ALCOHOL*+SODIUM ASCORBATUM,ATC4,R02A A Antiseptics,46,1,1
AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*,ATC4,R02A A Antiseptics,46,1,1
AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*+LEVOMENTHOLUM,ATC4,R02A A Antiseptics,46,1,1
AMYLMETACRESOLUM+DICHLOROBENZYL ALCOHOL*+LIDOCAINUM,ATC4,R02A A Antiseptics,46,1,1
ANAGRELIDUM,ATC4,L01X X Other antineoplastic agents,4,1,1
ANASTROZOLUM,ATC4,L02B G Aromatase inhibitors,3,1,1
ANETHOLUM*+DICHLOROBENZYL ALCOHOL*+MENTHA PIPERITA+MENTHOLUM*,ATC4,R02A A Antiseptics,46,1,1
ANETHUM GRAVEOLENS*&,ATC4,A03A X Other drugs for functional gastrointestinal disorders,10,1,1
ANETHUM GRAVEOLENS+ARCTOSTAPHYLOS UVA-URSI+CALENDULA+ELEUTHEROCOCCUS SENTICOSUS+MENTHA PIPERITA,ATC4,G04B X Other urologicals,12,1,1
ANISUM VULG.*&+CAPSICUM ANNUUM*&+MENTHOLUM*,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
ANISUM VULGARE GAERTN.*&,ATC4,R05C A Expectorants,40,1,1
ANISUM VULGARE GAERTN.*&+CAPSICUM ANNUUM*&+LEVOMENTHOLUM,ATC4,R05X OTHER COLD PREPARATIONS,23,1,1
ANISUM VULGARE GAERTN.*&+THYMUS SERPYLLUM*&,ATC4,R05C A Expectorants,40,1,1
ANTAZOLINUM+NAPHAZOLINUM,ATC4,"R01A B Sympathomimetics, combinations excl. corticosteroids",10,1,1
ANTILYMPHOCYTE SERUM*,ATC4,L04A A Selective immunosuppressants,10,1,1
ANTITHROMBINUM III,ATC4,B01A B Heparin group,7,1,1
ANTRAL*,ATC4,A05B A Liver therapy,15,1,1
ANTRAL*+LECITHIN*,ATC4,A05B A Liver therapy,15,1,1
APIXABANUM,ATC4,B01A F Direct factor Xa inhibitors,3,1,1
APOMORPHINUM*,ATC4,N04B C Dopamine agonists,4,1,1
APREPITANTUM,ATC3,A04A ANTIEMETICS AND ANTINAUSEANTS,5,1,1
