ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
G04C A03 Terazosin,228.75335301867176,237.8424380426801,227.15609411412348,201.76660702351495,211.80660540326483,208.27459215930148,234.38816961636755,231.5730196342571,231.2836877008055,253.85021020628093,234.21061626289804,245.24132916042842
G04C A04 Silodosin,9696.280395108955,10224.577440604757,10711.822070724906,9522.509706238186,9468.233796874942,9283.654419878996,9533.536848631986,9810.120092846468,10378.701411749362,10897.59480160625,11001.055458869436,11247.310220168598
G04C A52 Tamsulosin and dutasteride,9192.854589831943,9096.613473040574,9501.03930874062,8463.57434930751,8785.742734497904,8724.099197080624,8983.301733186063,9064.054239138071,9622.33311644433,10001.967846537123,10342.697536777123,10622.92543915697
G04C A53 Tamsulosin and solifenacin,1155.4416869549377,1193.1093842122855,1162.8274835019092,1129.8707044173534,1143.8652226334546,1101.7019786900808,1134.1677250191274,1161.85946356611,1233.3915958874416,1299.0208432282525,1377.1377825846466,1393.2456755535072
G04C B01 Finasteride,7113.500802146374,6881.67898259405,7394.782889441772,5196.465377409531,5253.029130273317,4946.459495053928,5403.399949367996,5708.19687530883,6138.83457855108,6848.743703634457,6876.614366190742,7366.98345872535
G04C B02 Dutasteride,7600.379688621591,7723.846100673437,7755.595936288795,7132.369710754964,7256.431036301779,7158.097202713116,7201.5900418160645,7180.131419072306,7476.667226851181,7658.315379048163,7715.6310067796285,8052.485814938684
G04C X02 Sabalis serrulatae fructus,14482.947117249008,13696.634656980284,13131.01954255803,9294.869904812946,8700.254248409597,7657.48617707964,8589.916973808393,9694.173264984118,11362.431551717413,13260.831834896773,13978.68891523298,14515.42023329467
G04C X10** Other drugs,18779.058981164097,17962.738618677336,15638.644636136645,11638.341529778832,10558.589446962624,8966.63537302447,9533.32622177868,10448.407593923488,12729.447340763581,15293.500544040404,16828.699219830694,17590.09378755948
H01A C01 Somatropin,382.0990610329752,698.8474626517118,549.0059693871008,0.0,69.11105831918167,76.9082022422773,119.5073028211539,0.0,0.0,8.409526858817514,271.66190427598644,377.78519165012153
H01A X01 Pegvisomant,0.19052622039365516,0.19870171257499236,0.20062312589608183,0.19630316429993594,0.20375389653241643,0.448986787902092,0.200012730452103,0.20084207162343254,0.20148464148501466,0.20194977860233682,0.346246354612612,0.2083827975711925
H01B A02 Desmopressin,2292.919667960902,2783.248428724568,2877.389838335779,2291.8465670250257,2702.8683509767,2698.484179138318,2435.64164266789,2586.782414491825,2753.8310329512524,2814.2943287190706,2981.234966333603,3382.370677425508
H01B A04 Terlipressin,25.107576881669893,26.13234173257246,33.18840512760406,20.181107357938846,17.154320656516223,7.86554280968765,21.753172046534324,31.381926950321184,25.370382387660207,17.320598251840963,20.8838224574951,32.05025333632793
H01B B01 Demoxytocin,1645.5486854558517,1578.382057774975,1437.7599212874006,1162.0305777544677,1272.170668585249,1425.4531069070015,1671.8314232215293,1667.344041930279,1652.770102554406,1836.7165167108337,1659.9680136931045,1649.7339769360467
H01B B02 Oxytocin,5402.274159145344,5643.327087565067,6063.958834151191,4390.348157995394,4248.913180234774,3543.71251594957,4102.1824494660095,4449.608150894014,4295.3369318380055,4474.45553832218,4040.9854790695313,4084.0083873669023
H01B B03 Carbetocin,44.80990638985756,40.110346421560976,46.593828205189865,35.232143390359184,32.545125296760816,29.743040580148307,41.08490256512449,36.40672191137162,45.67170714663551,44.92842509311279,44.83692920856083,50.86486225918541
