INN,month,point_forecast,P10_empirical,P90_empirical
ACHILLEA MILLEFOLIUM*&,2024-03-01,8198.494900242167,4031.640839128042,10894.013745532375
ACHILLEA MILLEFOLIUM*&,2024-04-01,5872.903500825355,2511.8479657788594,9461.498707293125
ACHILLEA MILLEFOLIUM*&,2024-05-01,5403.505556951811,2099.9167175838925,8429.00841256816
ACHILLEA MILLEFOLIUM*&,2024-06-01,3824.846377512881,343.07828964949476,6772.569131863806
ACHILLEA MILLEFOLIUM*&,2024-07-01,3632.0270096216427,488.3609135076531,6548.009070019624
ACHILLEA MILLEFOLIUM*&,2024-08-01,4112.454690968556,891.0852938677358,7238.340940800885
ACHILLEA MILLEFOLIUM*&,2024-09-01,5044.342011705993,0.0,8030.526462285487
ACHILLEA MILLEFOLIUM*&,2024-10-01,5697.658643955849,105.19246879596903,8351.206088709625
ACHILLEA MILLEFOLIUM*&,2024-11-01,6674.24432541564,1695.5168820195668,8559.36293834613
ACHILLEA MILLEFOLIUM*&,2024-12-01,7485.616446243377,2978.5430749994985,9107.101391145803
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-01-01,4890.5028154134125,3580.202193126484,5895.153700998922
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-02-01,4426.747500626177,3114.6228221709234,6201.66646770819
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-03-01,4697.933444517423,1593.2275353026735,6706.353505462536
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-04-01,4125.449995351452,1621.1412703975284,6799.297598336907
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-05-01,4375.8794317397105,1914.388906569011,6630.169228408668
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-06-01,4922.30597657135,2328.05482249698,7118.642138081432
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-07-01,5307.695808157696,2965.363064544997,7480.38210849363
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-08-01,5177.688669147806,2777.459513949528,7506.773722055243
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-09-01,4381.957953660926,0.0,6606.951767636842
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-10-01,4597.542376992458,430.6187155335756,6574.689719154462
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-11-01,4399.622511378716,689.9930673975564,5804.216675536006
ACHILLEA MILLEFOLIUM*&+CALENDULA OFFICINALIS*&+POTENTILLA ALBA/ERECTA*+PROPOLIS*+SOPHORA JAPONICA*&,2024-12-01,4631.213614608756,1273.0116896716836,5839.375411567698
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-01-01,95.00909842279154,4.824988727565085,127.50962065232055
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-02-01,107.42207499454445,30.069600607202716,149.28812654527388
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-03-01,106.72656439309708,2.7489595407692917,158.31282285249284
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-04-01,113.33866405308952,22.957181130064384,178.85080603225637
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-05-01,127.1580519222338,32.5906146045871,185.92788219764938
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-06-01,118.72487035869953,21.1790646647749,187.62068514300216
ACHILLEA MILLEFOLIUM+CALENDULA+CLOTRIMAZOLUM+GENTAMICINUM,2024-07-01,98.66643324902243,0.0,167.79824978027236
